"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152921504606846987","4:f75dc485-148f-4285-919b-c89869e3b900:11","4:f75dc485-148f-4285-919b-c89869e3b900:13","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152930300699869195","4:f75dc485-148f-4285-919b-c89869e3b900:11","4:f75dc485-148f-4285-919b-c89869e3b900:59","DEPLOYS"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152921504606847054","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:81","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1155173304420532302","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:82","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1157425104234217550","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:83","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1159676904047902798","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:84","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1161928703861588046","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:85","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1164180503675273294","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:86","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1166432303488958542","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:87","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1168684103302643790","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:88","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1170935903116329038","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:89","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1173187702930014286","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:90","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1175439502743699534","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:96","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1155184299536810062","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:69","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152932499723124814","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:79","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1157436099350495310","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:80","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917547719338754139","4:f75dc485-148f-4285-919b-c89869e3b900:78","4:f75dc485-148f-4285-919b-c89869e3b900:91","EXPLOITS"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152921504606847077","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:85","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1155173304420532325","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:86","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1159676904047902821","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:87","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1164180503675273317","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:88","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1166432303488958565","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:89","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081972","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:116","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081973","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:117","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081974","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:118","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081975","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:119","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081976","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:120","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081977","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:121","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081978","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:122","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081979","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:123","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081980","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:124","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081981","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:125","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917529027641081982","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:126","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1157425104234217573","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:127","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1161928703861588069","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:128","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1168684103302643813","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:129","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1170935903116329061","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:130","USES"
